"Marca temporal","1. ¿El uso del chatbot ha sido sencillo?","2. ¿El chatbot te ha resultado útil?","3. ¿Ha dado respuestas de manera rápida?","4. ¿Ha dado respuestas de manera eficiente?","5. ¿El chatbot brindó información de manera clara y concisa?","6. ¿Te pareció que el tono de respuestas del chatbot fue apropiado?","7. ¿El chatbot te permitió ahorrar tiempo?","8. ¿El chatbot cumplió con tus expectativas?","9. ¿Pudiste evitar el contacto con el call center gracias al chatbot?","10. ¿Te plantearías usar el chatbot en el futuro?","11. ¿Recomendarías el chatbot?","12. ¿Utilizarías el chatbot en vez de buscar información por tu propia cuenta?","13. ¿Sería de tu agrado que el chatbot tuviese una interfaz más atractiva?","14. ¿Consideras que el chatbot debe tener más opciones de idioma?","15. ¿Te gustaría que el chatbot tuviese una opción para poder programar citas?","16. ¿Te gustaría que el chatbot tuviese opciones para poder hacer seguimiento a solicitudes o trámites realizados previamente?","17. ¿Tienes algún comentario adicional o propuesta de mejora?"
"2023/08/19 9:19:03 p. m. EEST","5","4","5","4","5","5","3","4","2","Tal vez","4","Tal vez","Sí","Sí","Si","5","Estaría bien que tras una serie de interacciones donde se repite el mismo ciclo automáticamente te dirigiese a una línea de ayuda prioritaria con un agente "
"2023/08/19 9:23:47 p. m. EEST","5","4","5","5","5","5","5","4","4","Sí","4","Sí","Sí","Sí","Tal vez","4","Es funcional pero necesita se implementado con una base de datos para valorarlo de manera objetiva y adecuada."
"2023/08/19 9:24:40 p. m. EEST","3","3","4","4","4","5","4","3","3","Sí","5","No","Tal vez","Tal vez","Si","4","Podría añadir una pequeña explicación cuando su respuesta no se ajuste bien a la petición que se le manda"
"2023/08/19 9:42:49 p. m. EEST","4","4","4","4","4","4","4","4","4","Sí","5","Sí","Tal vez","Sí","Tal vez","5","No"
"2023/08/19 10:04:35 p. m. EEST","5","5","5","4","5","4","5","5","4","Sí","5","Sí","Tal vez","Sí","Si","4","Me parece una herramienta muy útil para obtener información rápida y clara. "
"2023/08/19 10:13:35 p. m. EEST","4","5","4","4","5","4","4","4","3","Sí","5","Sí","Tal vez","No","Si","4","Me parece muy práctico y rápido poder gestionar consultas a través del chat."
"2023/08/19 10:23:57 p. m. EEST","4","5","5","4","4","4","5","5","4","Sí","5","Sí","Sí","Sí","Si","5","Todo bien "
"2023/08/19 10:39:03 p. m. EEST","4","5","4","5","5","4","4","5","5","Sí","4","Sí","No","No","Tal vez","3","."
"2023/08/19 10:41:05 p. m. EEST","4","5","5","4","5","5","4","5","5","Sí","5","Sí","Tal vez","Sí","Si","4","Muy buen chatbot"
"2023/08/20 7:00:15 a. m. EEST","4","5","5","4","5","5","4","5","5","Sí","5","Sí","Tal vez","Tal vez","Si","4"," "
"2023/08/20 2:29:46 p. m. EEST","5","4","4","5","4","5","5","3","3","Tal vez","4","No","Sí","Tal vez","No","3","Simple y sencillo, es operativo"
"2023/08/20 3:52:10 p. m. EEST","4","5","5","4","4","5","5","4","4","Sí","5","Sí","Tal vez","Tal vez","Si","4","Herramienta muy útil."
"2023/08/20 5:02:58 p. m. EEST","5","5","5","4","5","5","5","5","4","Sí","5","Sí","Tal vez","Tal vez","Si","5","En definitiva muy satisfecho con el programa"
"2023/08/20 7:43:37 p. m. EEST","5","4","4","5","4","4","5","3","5","Tal vez","4","Tal vez","Sí","Sí","No","3","
Sería bueno que tuviese más opciones de interacción"
"2023/08/20 7:55:42 p. m. EEST","4","3","4","3","3","4","4","5","4","Sí","3","Tal vez","Sí","Tal vez","Tal vez","3","Me gusta"
"2023/08/20 8:07:01 p. m. EEST","4","5","3","3","2","5","3","4","1","Tal vez","3","Tal vez","Sí","Sí","Si","5","Me gustaría que me diese antes la opción de contactar con una persona y darme la opción de agendar una cita"
"2023/08/20 8:51:04 p. m. EEST","4","5","5","5","4","5","4","4","4","Sí","5","Sí","Tal vez","Sí","Tal vez","4","Buen chat bot en general "
"2023/08/20 8:57:13 p. m. EEST","5","5","4","4","5","5","5","4","5","Sí","5","Tal vez","Sí","Sí","Si","4","Me parece un gran acierto implementar el chat bot y estoy muy contento con el servicio que me ha facilitado "
"2023/08/20 9:10:42 p. m. EEST","5","4","5","5","4","5","5","4","5","Sí","5","Sí","Sí","Sí","Tal vez","5","Toda herramienta que evite el contacto humano innecesario es un potente avance"
"2023/08/20 11:21:28 p. m. EEST","5","5","5","4","4","5","5","4","5","Sí","5","Sí","Sí","Sí","Si","5","Más información sobre las pólizas (coste, condiciones de contratación, etc.)"